# 	r			Protein			OW			SOD			CLA
0.000000000000000000e+00 2.546617726635181904e+07 1.404156954326343536e+07 1.290875635433197021e+05 2.022777043533325195e+05
1.499999999999999944e-02 2.666608433370244503e+07 1.294879451437950134e+07 1.119601842308044434e+05 1.832765039443969727e+05
2.500000000000000139e-02 2.703575782546675205e+07 1.311794017264747620e+07 1.401916228828430176e+05 2.040502043914794922e+05
3.499999999999999639e-02 2.454697687362396717e+07 1.451180791274452209e+07 2.016892600116729736e+05 2.745957059097290039e+05
4.499999999999999833e-02 2.415476557380712032e+07 1.493687997563362122e+07 2.293459543914794922e+05 3.073515066146850586e+05
5.500000000000000028e-02 2.631159913061296940e+07 1.335250737808322906e+07 1.440998839340209961e+05 2.435415052413940430e+05
6.500000000000000222e-02 2.771462128128552437e+07 1.221950985725021362e+07 1.043505700664520264e+05 1.636372035217285156e+05
7.500000000000001110e-02 2.816550466876578331e+07 1.247314834765148163e+07 9.147629836845397949e+04 1.366243029403686523e+05
8.500000000000000611e-02 2.674252408091044426e+07 1.291185189945888519e+07 7.683181431198120117e+04 1.158151524925231934e+05
9.500000000000000111e-02 2.848216222739577293e+07 1.200596586359691620e+07 6.600363222312927246e+04 1.004298521614074707e+05
1.050000000000000100e-01 2.754286345716702938e+07 1.300328847125244141e+07 1.183973200798034668e+05 1.726060537147521973e+05
1.150000000000000050e-01 2.074983684525120258e+07 1.723882566941165924e+07 2.736242531242370605e+05 3.916516084289550781e+05
1.250000000000000000e-01 1.189302238105726242e+07 2.340406651771831512e+07 5.095452819900512695e+05 8.074092173767089844e+05
1.350000000000000089e-01 5.215598115586996078e+06 2.802034144098186493e+07 8.001129962596893311e+05 1.285381577663421631e+06
1.450000000000000178e-01 1.500476962739348412e+06 3.051196002340602875e+07 1.026953065624237061e+06 1.605814134559631348e+06
1.549999999999999989e-01 2.712921269050836563e+05 3.142704571434783936e+07 1.134177357051849365e+06 1.760411587886810303e+06
1.650000000000000078e-01 2.135518462395668030e+04 3.161699059279632568e+07 1.168937890636444092e+06 1.800576438751220703e+06
1.750000000000000167e-01 5.728939898014068604e+02 3.162366234265422821e+07 1.170662123453140259e+06 1.817379739112854004e+06
